Name,Category,Count,Classification
Short Stories You Own,Big Sources,1,progression
Short Stories from Your Library,Big Sources,1,progression
Project Gutenberg,Big Sources,1,progression
Uncanny Magazine,Big Sources,1,progression
Strange Horizons,Big Sources,1,progression
Reactor,Big Sources,1,progression
Clarkesworld,Big Sources,1,progression
Lightspeed,Big Sources,1,progression
khōréō ,Small Sources,1,progression
The Deadlands,Small Sources,1,progression
Escape Pod,Big Sources,1,progression
PodCastle,Big Sources,1,progression
Pseudopod,Big Sources,1,progression
Cast of Wonders,Big Sources,1,progression
GigaNotoSaurus,Big Sources,1,progression
Beneath Ceaseless Skies,Big Sources,1,progression
Fireside Magazine,Big Sources,1,progression
Shimmer Magazine,Small Sources,1,progression
The Book Smugglers,Small Sources,1,progression
Daily Science Fiction,Big Sources,1,progression
Nightmare Magazine,Big Sources,1,progression
Fantasy Magazine,Big Sources,1,progression
Sci Phi Journal,Big Sources,1,progression
Abyss & Apex Magazine,Big Sources,1,progression
Apex Magazine,Big Sources,1,progression
IZ Digital,Small Sources,1,progression
Diabolical Plots,Big Sources,1,progression
Reuse a Prompt,Consumables,3,useful
Read Any Story,Consumables,1,useful
Hard to Easy,Consumables,3,useful
Hard to Medium,Consumables,3,useful
Medium to Easy,Consumables,3,useful
Easy to Medium,Consumables,3,useful
Easy to Hard,Consumables,3,useful
